City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Inirida,CO,2020-04-16 08:50:44,3.87,-67.92,72.01,75,100,0.76
282,Ballina,AU,2020-04-16 08:53:00,-28.87,153.57,75.2,78,37,10.29
283,Sao Filipe,CV,2020-04-16 08:50:55,14.9,-24.5,71.62,76,95,16.2
284,Okhotsk,RU,2020-04-16 08:53:01,59.38,143.3,28.26,97,76,0.83
285,Tara,RU,2020-04-16 08:53:01,56.89,74.37,49.66,62,4,8.08
286,Cacapava Do Sul,BR,2020-04-16 08:52:05,-30.51,-53.49,43.97,89,0,4.65
287,Iqaluit,CA,2020-04-16 08:51:13,63.75,-68.51,10.4,78,75,23.04
288,Grand Gaube,MU,2020-04-16 08:53:01,-20.01,57.66,82.4,69,75,14.99
289,Fort Nelson,CA,2020-04-16 08:53:02,58.81,-122.7,33.8,69,5,3.36
290,Cachoeiro De Itapemirim,BR,2020-04-16 08:52:59,-20.85,-41.11,72.03,84,97,1.25
291,Gayny,RU,2020-04-16 08:53:02,60.31,54.32,40.73,65,100,14.2
292,Vacha,RU,2020-04-16 08:53:02,55.8,42.77,37.18,80,100,11.65
293,Winneba,GH,2020-04-16 08:50:28,5.35,-0.62,84.2,79,5,12.75
294,Bushehr,IR,2020-04-16 08:53:03,28.97,50.84,78.8,41,22,11.41
295,Sorland,NO,2020-04-16 08:53:03,67.67,12.69,39.2,69,40,21.92
296,Comodoro Rivadavia,AR,2020-04-16 08:51:19,-45.87,-67.5,66.2,63,91,10.29
297,Lavrentiya,RU,2020-04-16 08:50:51,65.58,-171.0,23.74,97,100,8.25
298,Tutayev,RU,2020-04-16 08:53:04,57.89,39.54,39.2,55,75,17.9
299,Lasa,IT,2020-04-16 08:51:07,46.62,10.7,60.01,50,90,1.12
300,Novo Aripuana,BR,2020-04-16 08:53:04,-5.12,-60.38,71.33,97,100,1.36
301,Sunrise Manor,US,2020-04-16 08:53:04,36.21,-115.07,66.99,25,1,5.79
302,Asau,RO,2020-04-16 08:51:15,46.43,26.4,61.0,36,0,8.05
303,Hirado,JP,2020-04-16 08:53:05,33.36,129.55,68.0,42,40,14.99
304,Touros,BR,2020-04-16 08:47:36,-5.2,-35.46,75.2,100,75,3.36
