City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
150,Verkh-Usugli,RU,2020-04-20 04:32:48,52.7,115.17,28.58,50,100,13.65,overcast clouds,0.0,0.0
151,Voh,NC,2020-04-20 04:32:48,-20.97,164.7,78.78,84,100,9.95,light rain,1.17,0.0
152,Morganton,US,2020-04-20 04:32:48,35.75,-81.68,52.0,87,90,1.86,overcast clouds,0.0,0.0
153,Honningsvag,NO,2020-04-20 04:32:48,70.98,25.97,39.2,74,40,21.92,scattered clouds,0.0,0.0
154,Turukhansk,RU,2020-04-20 04:32:49,65.82,87.98,42.01,63,100,20.36,overcast clouds,0.0,0.0
155,Sandwick,GB,2020-04-20 04:32:49,60.0,-1.25,42.8,81,0,5.82,clear sky,0.0,0.0
156,Assiniboia,CA,2020-04-20 04:32:49,49.63,-105.98,39.76,62,77,6.24,broken clouds,0.0,0.0
157,Nepomuceno,BR,2020-04-20 04:32:50,-21.24,-45.24,57.85,73,63,3.62,broken clouds,0.0,0.0
158,Akyab,MM,2020-04-20 04:32:50,20.15,92.9,89.47,53,6,10.42,clear sky,0.0,0.0
159,Vao,NC,2020-04-20 04:32:50,-22.67,167.48,71.26,92,100,22.75,heavy intensity rain,40.82,0.0
160,Joshimath,IN,2020-04-20 04:32:51,30.57,79.57,62.98,15,15,5.41,few clouds,0.0,0.0
161,Laguna,US,2020-04-20 04:32:51,38.42,-121.42,60.01,67,1,5.82,clear sky,0.0,0.0
162,Adrar,MR,2020-04-20 04:32:51,20.5,-10.07,69.93,21,0,9.15,clear sky,0.0,0.0
163,Beringovskiy,RU,2020-04-20 04:32:51,63.05,179.32,19.81,96,100,15.03,light snow,0.0,0.46
164,Saint Anthony,US,2020-04-20 04:32:52,45.02,-93.22,42.8,47,1,8.39,clear sky,0.0,0.0
165,Lasa,IT,2020-04-20 04:32:25,46.62,10.7,51.4,51,100,3.8,light rain,0.18,0.0
166,Sambava,MG,2020-04-20 04:32:56,-14.27,50.17,81.39,68,100,6.98,light rain,0.53,0.0
167,Tuy Hoa,VN,2020-04-20 04:32:56,13.08,109.3,88.25,55,33,8.59,scattered clouds,0.0,0.0
168,Olinda,BR,2020-04-20 04:32:57,-8.01,-34.86,78.8,88,75,3.36,broken clouds,0.0,0.0
169,Umm Lajj,SA,2020-04-20 04:31:57,25.02,37.27,79.92,36,0,4.0,clear sky,0.0,0.0
170,Kaitangata,NZ,2020-04-20 04:32:58,-46.28,169.85,61.0,44,74,7.0,broken clouds,0.0,0.0
171,Kahului,US,2020-04-20 04:32:15,20.89,-156.47,78.8,57,75,6.93,broken clouds,0.0,0.0
172,Mabaruma,GY,2020-04-20 04:32:58,8.2,-59.78,75.15,89,74,5.1,broken clouds,0.0,0.0
173,Minab,IR,2020-04-20 04:32:59,27.15,57.08,80.6,65,20,4.7,few clouds,0.0,0.0
174,Chiredzi,ZW,2020-04-20 04:32:59,-21.05,31.67,67.46,66,14,3.11,few clouds,0.0,0.0
175,Iisaku,EE,2020-04-20 04:32:59,59.1,27.31,39.97,76,57,7.54,broken clouds,0.0,0.0
176,Kailua,US,2020-04-20 04:28:22,21.4,-157.74,82.4,54,75,5.82,broken clouds,0.0,0.0
177,Colombia,CU,2020-04-20 04:33:00,20.99,-77.43,74.41,81,19,4.97,light rain,0.23,0.0
178,George Town,MY,2020-04-20 04:33:00,5.41,100.34,93.2,74,20,5.82,few clouds,0.0,0.0
179,Praia Da Vitoria,PT,2020-04-20 04:33:00,38.73,-27.07,55.4,76,40,10.07,scattered clouds,0.0,0.0
180,Muravlenko,RU,2020-04-20 04:33:01,63.79,74.52,42.46,67,0,15.68,clear sky,0.0,0.0
181,Hofn,IS,2020-04-20 04:33:01,64.25,-15.21,44.64,87,93,7.81,overcast clouds,0.0,0.0
